Feature Selection,Number of Features,Best F1,Best AUC,Best Accuracy,Best TPR,Best Model F1,Best Model AUC,Best Model Accuracy,Best Model TPR
,20,0.8129678608302783,0.892786075712905,0.9229788484136311,0.884088269454123,KNN,KNN,RandomForest,MeanEnsemble
,30,0.8002897795169863,0.8878909708178,0.9132432432432432,0.8889663182346108,KNN,KNN,RandomForest,MeanEnsemble
,40,0.8177843359776802,0.9002119831388125,0.9208108108108108,0.8984901277584205,KNN,KNN,RandomForest,MeanEnsemble
,50,0.8172153107687894,0.8974318364562267,0.9251527614571093,0.8984901277584203,KNN,KNN,RandomForest,MeanEnsemble
,60,0.8228136561923733,0.8995297385541287,0.9283960047003526,0.8887340301974449,KNN,KNN,RandomForest,MeanEnsemble
,70,0.8228137726399481,0.9023679572460062,0.9273031727379554,0.8984901277584203,KNN,KNN,RandomForest,MeanEnsemble
,100,0.8535685365873211,0.9263009348375203,0.9284371327849588,0.9225319396051104,KNN,KNN,KNN,KNN
,200,0.8203299315237738,0.9081771886649935,0.9284195064629847,0.9226480836236934,RandomForest,KNN,RandomForest,KNN
,500,0.8249818137251026,0.9168518473396523,0.9197414806110459,0.9274099883855982,KNN,KNN,RandomForest,KNN
,20,0.805177903790074,0.8791005742225254,0.912150411280846,0.8211382113821137,KNN,KNN,RandomForest,KNN
,30,0.8272644454948038,0.8968730456535334,0.9208108108108108,0.8552845528455284,KNN,KNN,RandomForest,KNN
,40,0.8224483592904646,0.8883823493579591,0.9284136310223268,0.8452961672473867,RandomForest,KNN,RandomForest,KNN
,50,0.8383769678114661,0.906512999195926,0.9240951821386604,0.8745644599303135,KNN,KNN,KNN,KNN
,60,0.8471375607877125,0.9181757267123121,0.9262749706227966,0.9034843205574912,KNN,KNN,KNN,KNN
,70,0.8358829163849448,0.9140960665350908,0.9229905992949472,0.9037166085946573,KNN,KNN,RandomForest,KNN
,100,0.8493680239845256,0.9178346044199703,0.9284136310223268,0.8986062717770034,KNN,KNN,RandomForest,KNN
,200,0.8348096046568033,0.9122401988255648,0.9208108108108108,0.8986062717770034,KNN,KNN,RandomForest,KNN
,500,0.8376778065619058,0.915719646207451,0.9208343125734431,0.908362369337979,KNN,KNN,RandomForest,KNN
,20,0.8158084626086044,0.8801072910829009,0.9175910693301997,0.8119628339140533,KNN,KNN,KNN,KNN
,30,0.799422293838985,0.8725989457696774,0.9164806110458285,0.8256678281068526,KNN,KNN,RandomForest,MeanEnsemble
,40,0.8031373174416652,0.8644396254152351,0.9218977673325499,0.8207897793263648,RandomForest,KNN,RandomForest,MeanEnsemble
,50,0.8100303122054393,0.8744885196104708,0.9229964747356052,0.8259001161440185,RandomForest,KNN,RandomForest,KNN
,60,0.8220401796066362,0.8945428555184651,0.9251527614571092,0.8548199767711961,KNN,KNN,RandomForest,KNN
,70,0.8272829667712571,0.8994209042989529,0.9197179788484137,0.8645760743321718,KNN,KNN,RandomForest,KNN
,100,0.8121432146636002,0.8788922459654167,0.925141010575793,0.8403019744483158,RandomForest,KNN,RandomForest,KNN
,200,0.8315682048826097,0.9063217270534343,0.9197414806110459,0.8839721254355399,KNN,KNN,RandomForest,KNN
,500,0.8365545225020732,0.9111997758339221,0.9208225616921268,0.8937282229965156,KNN,KNN,KNN,KNN
,20,0.7282927712721355,0.8434122787781323,0.8904524089306698,0.8260162601626015,KNN,KNN,RandomForest,MeanEnsemble
,30,0.7677354731837446,0.8724072675292188,0.8926086956521739,0.908362369337979,KNN,KNN,RandomForest,MeanEnsemble
,40,0.8223504232445716,0.9098348805665879,0.9110399529964747,0.9077816492450639,KNN,KNN,KNN,KNN
,50,0.822031246532049,0.9188746213136456,0.9089071680376029,0.9370499419279907,KNN,KNN,KNN,KNN
,60,0.8166465792272243,0.9139965725331578,0.9067156286721504,0.9371660859465738,KNN,KNN,KNN,MeanEnsemble
,70,0.8183070244889545,0.9201400225790468,0.9066803760282021,0.9465737514518002,KNN,KNN,RandomForest,KNN
,100,0.8311745206853782,0.9224291968194407,0.9164512338425382,0.9564459930313589,KNN,KNN,RandomForest,MeanEnsemble
,200,0.8221757043498524,0.9147023707999319,0.9218860164512339,0.9902439024390244,KNN,MeanEnsemble,RandomForest,MeanEnsemble
,500,0.8552910896955643,0.9360399762838789,0.9273325499412456,1.0,KNN,KNN,KNN,MeanEnsemble
